universe,window,step,equity,atr_lookback,atr_trend_pct,label
Base5,0,72,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,73,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,74,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,75,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,76,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,77,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,78,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,79,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,80,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,81,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,82,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,83,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,84,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,85,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,86,0.628435,100,0.25,candidate_lb100_p0.25
Base5,0,87,0.628435,100,0.25,candidate_lb100_p0.25
Base5,0,88,0.628435,100,0.25,candidate_lb100_p0.25
Base5,0,89,0.628435,100,0.25,candidate_lb100_p0.25
Base5,0,90,0.628435,100,0.25,candidate_lb100_p0.25
Base5,0,91,0.643431,100,0.25,candidate_lb100_p0.25
Base5,0,92,0.643431,100,0.25,candidate_lb100_p0.25
Base5,0,93,0.643431,100,0.25,candidate_lb100_p0.25
Base5,0,94,0.643431,100,0.25,candidate_lb100_p0.25
Base5,0,95,0.643431,100,0.25,candidate_lb100_p0.25
Base5,0,96,0.643431,100,0.25,candidate_lb100_p0.25
Base5,0,97,0.643431,100,0.25,candidate_lb100_p0.25
Base5,0,98,0.643431,100,0.25,candidate_lb100_p0.25
Base5,0,99,0.643431,100,0.25,candidate_lb100_p0.25
Base5,0,100,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,101,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,102,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,103,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,104,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,105,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,106,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,107,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,108,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,109,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,110,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,111,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,112,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,113,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,114,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,115,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,116,1.012950,100,0.25,candidate_lb100_p0.25
Base5,0,117,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,118,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,119,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,120,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,121,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,122,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,123,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,124,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,125,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,126,0.871180,100,0.25,candidate_lb100_p0.25
Base5,0,127,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,128,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,129,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,130,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,131,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,132,0.873342,100,0.25,candidate_lb100_p0.25
Base5,0,133,0.873342,100,0.25,candidate_lb100_p0.25
