universe,window,bar_idx,equity
0,0,0,1.000000
0,0,1,1.000000
0,0,2,1.000000
0,0,3,1.000000
0,0,4,1.043589
0,0,5,1.132636
0,0,6,1.156298
0,0,7,1.156298
0,0,8,1.156298
0,0,9,1.156298
0,0,10,1.156298
0,0,11,1.156298
0,0,12,1.156298
0,0,13,1.156298
0,0,14,1.156298
0,0,15,1.156298
0,0,16,1.156298
0,0,17,1.156298
0,0,18,1.156298
0,0,19,1.156298
0,0,20,1.156298
0,0,21,1.156298
0,0,22,1.156298
0,0,23,1.156298
0,0,24,1.156298
0,0,25,1.156298
0,0,26,1.156298
0,0,27,0.990473
0,0,28,0.743464
0,0,29,0.722735
0,0,30,0.722735
0,0,31,0.722735
0,0,32,0.722735
0,0,33,0.722735
0,0,34,0.722735
0,0,35,0.722735
0,0,36,0.722735
0,0,37,0.722735
0,0,38,0.722735
0,0,39,0.722735
0,0,40,0.722735
0,0,41,0.722735
0,0,42,0.722735
0,0,43,0.722735
0,0,44,0.722735
0,0,45,0.722735
0,0,46,0.722735
0,0,47,0.722735
0,0,48,0.722735
0,0,49,0.722735
0,0,50,0.722735
0,0,51,0.722735
0,0,52,0.722735
0,0,53,0.722735
0,0,54,0.722735
0,0,55,0.722735
0,0,56,0.722735
0,0,57,0.722735
0,0,58,0.722735
0,0,59,0.722735
0,0,60,0.722735
0,0,61,0.722735
0,0,62,0.722735
0,0,63,0.722735
0,0,64,0.722735
0,0,65,0.722735
0,0,66,0.722735
0,0,67,0.722735
0,0,68,0.722735
0,0,69,0.722735
0,0,70,0.722735
0,0,71,0.722735
0,0,72,0.722735
0,0,73,0.722735
0,0,74,0.722735
0,0,75,0.722735
0,0,76,0.722735
0,0,77,0.722735
0,0,78,0.722735
0,0,79,0.722735
0,0,80,0.722735
0,0,81,0.722735
0,0,82,0.722735
0,0,83,0.722735
0,0,84,0.722735
0,0,85,0.722735
0,0,86,0.722735
0,0,87,0.722735
0,0,88,0.722735
0,0,89,0.722735
0,0,90,0.722735
0,0,91,0.722735
0,0,92,0.722735
0,0,93,0.722735
0,0,94,0.722735
0,0,95,0.722735
0,0,96,0.722735
0,0,97,0.722735
0,0,98,0.722735
0,0,99,0.722735
0,0,100,0.722735
0,0,101,0.718395
0,0,102,0.714726
0,0,103,0.714726
0,0,104,0.714726
0,0,105,0.714726
0,0,106,0.714726
0,0,107,0.714726
0,0,108,0.714726
0,0,109,0.714726
0,0,110,0.714726
0,0,111,0.714726
0,0,112,0.714726
0,0,113,0.714726
0,0,114,0.714726
0,0,115,0.648829
0,0,116,0.587494
0,0,117,0.587494
0,0,118,0.587494
0,0,119,0.587494
0,0,120,0.587494
0,0,121,0.587494
0,0,122,0.587494
0,0,123,0.587494
0,0,124,0.587494
0,0,125,0.587494
0,0,126,0.587494
0,0,127,0.587494
0,0,128,0.587494
0,0,129,0.587494
0,0,130,0.585811
0,0,131,0.570768
0,0,132,0.561090
0,0,133,0.561090
0,0,134,0.561090
0,0,135,0.561090
0,0,136,0.561090
0,0,137,0.580595
0,0,138,0.795155
0,0,139,1.141351
0,0,140,1.748076
0,0,141,2.002646
0,0,142,2.002646
0,0,143,2.002646
0,0,144,2.002646
0,0,145,2.002646
0,0,146,2.002646
0,0,147,2.002646
0,0,148,2.002646
0,0,149,2.002646
0,0,150,2.002646
0,0,151,2.002646
0,0,152,2.002646
0,0,153,2.002646
0,0,154,2.002646
0,0,155,2.002646
0,0,156,2.002646
0,0,157,2.002646
0,0,158,2.002646
0,0,159,2.002646
0,0,160,2.002646
0,0,161,2.002646
0,0,162,2.002646
0,0,163,2.002646
0,0,164,2.002646
0,0,165,2.002646
0,0,166,2.002646
0,0,167,2.002646
0,0,168,2.002646
0,0,169,2.002646
0,0,170,2.002646
0,0,171,2.002646
0,0,172,2.002646
0,0,173,2.002646
0,0,174,1.965796
0,0,175,1.806112
0,0,176,1.722362
0,0,177,1.722362
0,0,178,1.722362
0,0,179,1.722362
0,0,180,1.722362
0,0,181,1.729468
0,0,182,1.763338
0,0,183,1.781813
0,0,184,1.781813
0,0,185,1.781813
0,0,186,1.781813
0,0,187,1.781813
0,0,188,1.781813
0,0,189,1.781813
0,0,190,1.781813
0,0,191,1.781813
0,0,192,1.781813
0,0,193,1.781813
0,0,194,1.781813
0,0,195,1.781813
0,0,196,1.781813
0,0,197,1.781813
0,0,198,1.781813
0,0,199,1.781813
0,0,200,1.781813
0,0,201,1.781813
0,0,202,1.781813
0,0,203,1.781813
0,0,204,1.742071
0,0,205,1.640587
0,0,206,1.603683
0,0,207,1.603683
0,0,208,1.688800
0,0,209,1.773242
0,0,210,1.773242
0,0,211,1.773242
0,0,212,1.773242
0,0,213,1.773242
0,0,214,1.773242
0,0,215,1.773242
0,0,216,1.773242
0,0,217,1.773242
0,0,218,1.773242
0,0,219,1.773242
0,0,220,1.773242
0,0,221,1.773242
0,0,222,1.773242
0,0,223,1.773242
0,0,224,1.773242
0,0,225,1.773242
0,0,226,1.773242
0,0,227,1.773242
0,0,228,1.773242
0,0,229,1.773242
0,0,230,1.773242
0,0,231,1.773242
0,0,232,1.773242
0,0,233,1.773242
0,0,234,1.773242
0,0,235,1.773242
0,0,236,1.773242
0,0,237,1.773242
0,0,238,1.773242
0,0,239,1.773242
0,0,240,1.773242
0,0,241,1.773242
0,0,242,1.773242
0,0,243,1.773242
0,0,244,1.773242
0,0,245,1.773242
0,0,246,1.773242
0,0,247,1.773242
0,0,248,1.773242
0,0,249,1.773242
0,0,250,1.748986
0,0,251,1.716868
1,0,0,1.000000
1,0,1,1.032777
1,0,2,1.055966
1,0,3,1.055966
1,0,4,1.055966
1,0,5,1.055966
1,0,6,1.055966
1,0,7,1.055966
1,0,8,1.055966
1,0,9,1.055966
1,0,10,1.055966
1,0,11,1.055966
1,0,12,1.055966
1,0,13,1.055966
1,0,14,1.055966
1,0,15,1.055966
1,0,16,1.055966
1,0,17,1.055966
1,0,18,1.055966
1,0,19,1.055966
1,0,20,1.055966
1,0,21,1.055966
1,0,22,1.055966
1,0,23,1.055966
1,0,24,1.055966
1,0,25,1.055966
1,0,26,1.055966
1,0,27,1.055966
1,0,28,1.055966
1,0,29,1.055966
1,0,30,1.055966
1,0,31,1.055966
1,0,32,1.055966
1,0,33,1.055966
1,0,34,1.055966
1,0,35,1.055966
1,0,36,1.055966
1,0,37,1.055966
1,0,38,1.055966
1,0,39,1.055966
1,0,40,1.055966
1,0,41,1.055966
1,0,42,1.055966
1,0,43,1.055966
1,0,44,1.055966
1,0,45,1.055966
1,0,46,1.055966
1,0,47,1.055966
1,0,48,1.055966
1,0,49,1.055966
1,0,50,1.055966
1,0,51,1.055966
1,0,52,1.055966
1,0,53,1.055966
1,0,54,1.055966
1,0,55,1.055966
1,0,56,1.055966
1,0,57,1.055966
1,0,58,1.055966
1,0,59,1.055966
1,0,60,1.055966
1,0,61,1.055966
1,0,62,1.055966
1,0,63,1.055966
1,0,64,1.055966
1,0,65,1.051173
1,0,66,1.009724
1,0,67,0.985193
1,0,68,0.985193
1,0,69,0.985193
1,0,70,0.985193
1,0,71,0.985193
1,0,72,0.985193
1,0,73,0.985193
1,0,74,0.985193
1,0,75,0.985193
1,0,76,0.985193
1,0,77,0.985193
1,0,78,0.985193
1,0,79,0.985193
1,0,80,0.985193
1,0,81,0.985193
1,0,82,0.985193
1,0,83,0.985193
1,0,84,0.985193
1,0,85,0.985193
1,0,86,0.985193
1,0,87,0.985193
1,0,88,0.985193
1,0,89,0.985193
1,0,90,0.985193
1,0,91,0.985193
1,0,92,0.985193
1,0,93,0.985193
1,0,94,0.985193
1,0,95,0.985193
1,0,96,0.985193
1,0,97,0.985193
1,0,98,0.985193
1,0,99,0.985193
1,0,100,0.985193
1,0,101,0.985193
1,0,102,0.985193
1,0,103,0.985193
1,0,104,0.985193
1,0,105,0.985193
1,0,106,0.985193
1,0,107,0.985193
1,0,108,1.048921
1,0,109,1.197617
1,0,110,1.239091
1,0,111,1.239091
1,0,112,1.239091
1,0,113,1.239091
1,0,114,1.239091
1,0,115,1.239091
1,0,116,1.239091
1,0,117,1.239091
1,0,118,1.239091
1,0,119,1.239091
1,0,120,1.239091
1,0,121,1.239091
1,0,122,1.239091
1,0,123,1.222895
1,0,124,0.958361
1,0,125,0.787403
1,0,126,0.787403
1,0,127,0.787403
1,0,128,0.787403
1,0,129,0.759204
1,0,130,0.736113
1,0,131,0.736113
1,0,132,0.736113
1,0,133,0.736113
1,0,134,0.736113
1,0,135,0.736113
1,0,136,0.736113
1,0,137,0.736113
1,0,138,0.736113
1,0,139,0.736113
1,0,140,0.736113
1,0,141,0.736113
1,0,142,0.736113
1,0,143,0.736113
1,0,144,0.736113
1,0,145,0.736113
1,0,146,0.736113
1,0,147,0.736113
1,0,148,0.736113
1,0,149,0.736113
1,0,150,0.736113
1,0,151,0.736113
1,0,152,0.736113
1,0,153,0.736113
1,0,154,0.736113
1,0,155,0.736113
1,0,156,0.736113
1,0,157,0.736113
1,0,158,0.736113
1,0,159,0.736113
1,0,160,0.736113
1,0,161,0.736113
1,0,162,0.736113
1,0,163,0.736113
1,0,164,0.736113
1,0,165,0.736113
1,0,166,0.736113
1,0,167,0.736113
1,0,168,0.736113
1,0,169,0.736113
1,0,170,0.736113
1,0,171,0.736113
1,0,172,0.736113
1,0,173,0.736113
1,0,174,0.736113
1,0,175,0.718281
1,0,176,0.699725
1,0,177,0.699725
1,0,178,0.699725
1,0,179,0.699725
1,0,180,1.518531
1,0,181,2.657063
1,0,182,2.657063
1,0,183,2.617271
1,0,184,2.484329
1,0,185,2.430067
1,0,186,2.430067
1,0,187,2.086660
1,0,188,1.767026
1,0,189,1.767026
1,0,190,1.767026
1,0,191,1.767026
1,0,192,1.767026
1,0,193,1.767026
1,0,194,1.767026
1,0,195,1.767026
1,0,196,1.767026
1,0,197,1.767026
1,0,198,1.767026
1,0,199,1.767026
1,0,200,1.767026
1,0,201,1.767026
1,0,202,1.767026
1,0,203,1.767026
1,0,204,1.767026
1,0,205,1.767026
1,0,206,1.767026
1,0,207,1.767026
1,0,208,1.767026
1,0,209,1.767026
1,0,210,1.767026
1,0,211,1.767026
1,0,212,1.767026
1,0,213,1.767026
1,0,214,1.767026
1,0,215,1.767026
1,0,216,1.767026
1,0,217,1.767026
1,0,218,1.767026
1,0,219,1.767026
1,0,220,1.767026
1,0,221,1.767026
1,0,222,1.767026
1,0,223,1.767026
1,0,224,1.767026
1,0,225,1.767026
1,0,226,1.767026
1,0,227,1.767026
1,0,228,1.767026
1,0,229,1.791861
1,0,230,1.917745
1,0,231,1.981971
1,0,232,1.981971
1,0,233,1.981971
1,0,234,1.981971
1,0,235,1.981971
1,0,236,1.981971
1,0,237,1.981971
1,0,238,1.981971
1,0,239,1.981971
1,0,240,1.981971
1,0,241,1.981971
1,0,242,1.981971
1,0,243,1.981971
1,0,244,1.981971
1,0,245,2.031054
1,0,246,2.082954
1,0,247,2.082954
1,0,248,2.046627
1,0,249,1.959085
1,0,250,1.933477
1,0,251,1.933477
2,0,0,1.000000
2,0,1,1.000000
2,0,2,1.000000
2,0,3,1.000000
2,0,4,1.000000
2,0,5,1.000000
2,0,6,1.000000
2,0,7,1.000000
2,0,8,1.000000
2,0,9,1.000000
2,0,10,1.000000
2,0,11,1.000000
2,0,12,1.000000
2,0,13,1.000000
2,0,14,0.983319
2,0,15,0.934278
2,0,16,0.916263
2,0,17,0.916263
2,0,18,0.916263
2,0,19,0.916263
2,0,20,0.916263
2,0,21,0.916263
2,0,22,0.916263
2,0,23,0.888810
2,0,24,0.857867
2,0,25,0.857867
2,0,26,0.857867
2,0,27,0.857867
2,0,28,0.857867
2,0,29,0.857867
2,0,30,0.857867
2,0,31,0.857867
2,0,32,0.857867
2,0,33,0.857867
2,0,34,0.857867
2,0,35,0.857867
2,0,36,0.857867
2,0,37,0.857867
2,0,38,0.857867
2,0,39,0.857867
2,0,40,0.876460
2,0,41,0.901482
2,0,42,0.901482
2,0,43,0.901482
2,0,44,0.901482
2,0,45,0.901482
2,0,46,0.901482
2,0,47,0.901482
2,0,48,0.901482
2,0,49,0.901482
2,0,50,0.901482
2,0,51,0.901482
2,0,52,0.880306
2,0,53,0.854857
2,0,54,0.854857
2,0,55,0.854857
2,0,56,0.854857
2,0,57,0.854857
2,0,58,0.854857
2,0,59,0.854857
2,0,60,0.854857
2,0,61,0.854857
2,0,62,0.854857
2,0,63,0.854857
2,0,64,0.854857
2,0,65,0.854857
2,0,66,0.854857
2,0,67,0.854857
2,0,68,0.854857
2,0,69,0.854857
2,0,70,0.854857
2,0,71,0.854857
2,0,72,0.854857
2,0,73,0.854857
2,0,74,0.854857
2,0,75,0.854857
2,0,76,0.854857
2,0,77,0.854857
2,0,78,0.854857
2,0,79,0.844425
2,0,80,0.821536
2,0,81,0.815774
2,0,82,0.815774
2,0,83,0.815774
2,0,84,0.815774
2,0,85,0.815774
2,0,86,0.815774
2,0,87,0.815774
2,0,88,0.815774
2,0,89,0.815774
2,0,90,0.815774
2,0,91,0.815774
2,0,92,0.815774
2,0,93,0.815774
2,0,94,0.815774
2,0,95,0.815774
2,0,96,0.815774
2,0,97,0.815774
2,0,98,0.815774
2,0,99,0.815774
2,0,100,0.815774
2,0,101,0.815774
2,0,102,0.815774
2,0,103,0.815774
2,0,104,0.815774
2,0,105,0.815774
2,0,106,0.815774
2,0,107,0.815774
2,0,108,0.815774
